phenotype,n_concordant,positive_fraction,n_features_pre,n_after_var,n_after_corr,max_single_feature_auroc,top5_features
Glucose,573,0.8394415357766143,5544,5374,5212,0.8774292687336166,K01443(0.877); K00854(0.820); K02027(0.820); K05349(0.815); K02529(0.810)
Serine,409,0.7506112469437652,5544,5404,5166,0.8044804240914606,K11249(0.804); K16074(0.801); K05835(0.791); K05805(0.780); K14058(0.778)
Galacturonic-Acid,570,0.1736842105263158,5544,5457,5286,0.9001801454030753,K16066(0.900); K21087(0.880); K02841(0.875); K05594(0.873); K03577(0.859)
Histidine,548,0.4397810218978102,5544,5386,5160,0.8795734385770473,K09975(0.880); K01712(0.865); K01468(0.858); K02624(0.837); K05836(0.814)
m-Inositol,562,0.2775800711743772,5544,5324,5135,0.9839901477832512,K00010(0.984); K03335(0.959); K10441(0.849); K24995(0.841); K02057(0.829)
Mannitol,580,0.6017241379310345,5544,5418,5175,0.8868691003361491,K02027(0.887); K00854(0.856); K10439(0.842); K10228(0.832); K00847(0.832)
